
@relation classify-sentiment

@attribute text string
@attribute class {negativo,positivo,neutro}

@data
'deveria constar no app a opção de adiantar parcelas do cartão, presente em diversos outros apps',negativo
'deveria explicar melhor como ter acesso ao aplicativo pela site do sicredi, pois não acho como fazer no site',negativo
'deveria explicar melhor pelo site',negativo
'deveria ser mais rápido',negativo
'deveria ser o primeiro critério ou ter algum aviso sobre as regiões que têm disponibilidade da conta',negativo
'deveria ser simples',negativo
'deveria ter a função para consultar boletos',negativo
'deveria ter a função para consultar ou gerar boletos de antecipação de parcelas de consórcio',negativo
'deveria ter uma opção de filtrar os lançamentos do cartão por número de cartão, caso tenha mais de um cartão',negativo
'dificulta minha vida',negativo
'dificultam demais',negativo
'digitar a senha não entra',negativo
'dígito a senha e fica rodando e não entra',negativo
'digito a senha, clico em entrar e nada acontece',negativo
'digito minha senha e não consigo acessar minha conta',negativo
'direto fica travando e pedindo atualização',negativo
'dispositivo de segurança não liberado',negativo
'diz a mensagem para verificar a conexão com a internet mas o sinal de internet no momento está excelente',negativo
'diz para verificar a conexão com a internet',negativo
'diz que tá indisponível tentar mais tarde',negativo
'diz servidor não encontrado',negativo
'do jeito que está, é um dos piores',negativo
'do nada simplesmente parou de funcionar, bem na hora em que mais precisei ele me deixou na mão',negativo
'dos 3 é o pior',negativo
'dou 1 estrela',negativo
'dps da nova att ficou lento o app',negativo
'e agora entro no app pede pra fazer tudo denovo e ainda dá erro',negativo
'e ao atualizar ainda bloqueia a senha',negativo
'e aparece uma mensagem de erro',negativo
'e atualizar mais rápido',negativo
'é bom mais não consigo acessar minha conta da usuário não cadastrado',negativo
'é bom porém precisa melhor bastante',negativo
'é bom, mais sempre dá pra melhorar um pouquinho',negativo
'é dor na cabeça',negativo
'é imperfeito',negativo
'é impossível usar',negativo
'é insatisfatório',negativo
'e notei um pouco de lentidão na animação do carregamento do aplicativo',negativo
'é o pior app comparando aos do bb e do bradesco',negativo
'é o pior app comparando aos outros',negativo
'é o pior',negativo
'é para facilitar a vida do cliente, mas atrapalha',negativo
'é para facilitar a vida do cliente, mas não facilita',negativo
'é para facilitar a vida do cliente, neste caso não resolve',negativo
'e pessima',negativo
'e péssimo não tem crédito nenhum só despesas com esse app',negativo
'é seguro, rápido, porém tem quer atualizar cada pouco',negativo
'é um pouco confuso de início mas acredito que seja devido a ter muitas funcionalidades',negativo
'é um pouco confuso de início, mas acredito que seja devido a ter muitas funcionalidades',negativo
'é um pouco confuso de início',negativo
'é um problema',negativo
'é uma crítica',negativo
'efetuei o pagamento da fatura e nem isso aparece',negativo
'ei vcs podiam fazer um extrato bem mais detalhado tipo tudo separado certinho se fizerem isso agradeço',negativo
'ei vcs podiam fazer um extrato mais detalhado',negativo
'eii pq num ta liberado na parte do ceará esse cartao de crédito',negativo
'ele é bom porem n abre mais ja faz quatro dias estou bem chateada com essa situação',negativo
'ele é muito ruim',negativo
'ele era muito bom mais de alguns dias pra cá não abre ,não importa o q vc faça ele não funciona mais',negativo
'ele estava muito bom',negativo
'ele me auxilia muito, arruma isso aí pra gente',negativo
'ele não sai da tela inicial',negativo
'ele não sai da tela',negativo
'ele não sai disso',negativo
'ele simplesmente não funciona mais, e ninguém consegue resolver isso',negativo
'ele simplesmente não funciona',negativo
'ele tenta e nao vai',negativo
'ele trava e não abre',negativo
'ele trava no momento de digitar minha senha e não abre',negativo
'em menos de mês tenho q atualizar',negativo
'em poucos dias foram descontados',negativo
'em uma conta onde a agilidade é o principal argumento, esse tempo é inadmissível',negativo
'entre todos os aplicativos q tenho, é o único que me irrita: lento demais e confuso para quem, como eu, não entendo muito de ti',negativo
'entre todos os aplicativos q tenho, é o único que me irrita',negativo
'entrei em contato com os demais telefones e até na agência fui e não foi resolvido o problema',negativo
'era excelente mas fui obrigado a vir pra esse',negativo
'era melhor quando tinha apenas a assinatura eletronica',negativo
'era pra ser simples',negativo
'era um ótimo app mas agora não funciona mais',negativo
'erro corrigido,ao selecionar opção crédito -> simular / pagar',negativo
'erro de conexão e não acessa a conta',negativo
'erro de conexão',negativo
'erro em mais de 60% das vezes que tento usar esse app',negativo
'erro no aplicativo',negativo
'erro quando tento usar esse app',negativo
'erros após atualização, não abre mais',negativo
'espero melhorias',negativo
'espero que mudem isso o quanto antes',negativo
'essa última atualização fez com que a minha conta não abrisse',negativo
'essa última versão não está solicitando nenhuma senha para pagamento, transferência ou qualquer outra transação',negativo
'essas novas atualizações ficaram muito ruins',negativo
'esse app é muito escroto',negativo
'esse app é muito fraquinho',negativo
'esse app é muito lixinho',negativo
'esse app é muito lixo',negativo
'esse app é muito pobre',negativo
'esse app é muito podre',negativo
'esse brilho intermitente da tela do celular enquanto vc usa o app no android n é legal',negativo
'esse é um dos motivos pelo qual estou usando cada vez menos',negativo
'esse negócio de usar código para sacar sem cartão até ajuda, mas acho que o sicredi tá meio atrasado',negativo
'está acontecendo alguns erros',negativo
'está dando inválido',negativo
'está demorando de mais pra atualizar as faturas do cartão mesmo com o débito da fatura',negativo
'esta em constante melhoria, tem coisas para melhorar mais já percebi muita evolução deste quando comecei a utilizar',negativo
'esta faltando muitas opções no app',negativo
'esta foi a única vez que tive algum problema, gosto do app (:',negativo
'esta foi a única vez que tive algum problema',negativo
'está pedindo para atualizar, no qual não existe essa opção',negativo
'está prejudicando a minha vida, preciso providência urgente',negativo
'está ruim a atualização',negativo
'esta última att me deixou na mão',negativo
'estamos com problemas',negativo
'estao me cobrando taxas',negativo
'estão me cobrando',negativo
'estava bom até ontem',negativo
'estava ótimo até atualizar',negativo
'este app deveria ter a opção de ver o extrato do ano todo',negativo
'estou a dias tentando abrir o aplicativo, porém, ele trava no momento de digitar minha senha e não abre',negativo
'estou a dias tentando abrir o aplicativo',negativo
'estou bem chateada com essa situação',negativo
'estou com o problema com o monitoramento de comprar realizado no meu cartão',negativo
'estou com problemas ao ativar a impressão digital',negativo
'estou frustrado',negativo
'estou muito decepcionada',negativo
'estou muito interessada woop sicredi: pena que não está disponível na minha região recife-pe ):',negativo
'estou pensando em fechar a conta e abrir em outro banco',negativo
'estou só esperando encerrar',negativo
'estou tendo problemas',negativo
'estou usando cada vez menos',negativo
'estranho poderia melhorar esse ponto para ficar mais claro e fácil para lembrarmos onde passamos o cartão',negativo
'eu acho que seria muito útil a informação de gastos do cartão de crédito em tempo real',negativo
'eu baixei e me cadrastrei mas quando coloquei meu cep deu que aqui no brasil ainda não tem esse cartão não intendi nada',negativo
'eu coloco o dados e parece senha inválida antes mesmo de chegar no passo da senha',negativo
'eu instalei o aplicativo mas não consigo abrir, pede o código de segurança mas não consigo instalar',negativo
'eu instalei o aplicativo mas não consigo abrir',negativo
'eu não consigo usar o app não entra coloco tudo oque pede mas não entra',negativo
'eu preciso ir até a agência para pedir para corrigir isso',negativo
'eu tenho o cartão de credito sicredi touch ai baixei o app mais pede a agencia e conta',negativo
'excelente app, o único problema é toda vez que ele atualiza é necessário desinstalar e instalar novamente',negativo
'exibe uma mensagem de erro',negativo
'explode isso e faz um que preste do zero',negativo
'explode isso',negativo
'faça um bechmarking nos concorrentes',negativo
'faço compra usando o cartão de crédito mais ñ aparece oque gastei fica sempre o mesmo limite lá',negativo
'fala erro de sistema',negativo
'fala que esta dando erro de servidor e não sai disso',negativo
'falta a atualização',negativo
'falta a funcionalidade de recarga de celular',negativo
'falta a opção cartão de crédito para baixar em pdf, como os outros bancos como itaú card e bradesco que são excelentes nesta parte',negativo
'falta a opção de apagar',negativo
'falta a opção de excluir objetivo já conquistado no gerenciador de investimentos',negativo
'falta a opção de excluir',negativo
'falta a opção de extrato e pagamento do cartão de crédito',negativo
'falta a opção de incluir',negativo
'falta a opção de salvar',negativo
'falta a opção',negativo
'falta a rotação de tela, pra facilitar a teclagem de dados e melhorar a visualização de faturas e extratos por exemplo',negativo
'falta agilidade, demora muito',negativo
'falta agilidade',negativo
'falta apenas a opção de depositar e consultar cheques',negativo
'falta atualizar a liberação',negativo
'falta de mais recursos',negativo
'falta informação',negativo
'falta muita opção',negativo
'falta oextrato na paginal proncipal',negativo
'falta opção de adiantar a fatura do cartão de crédito coisa simples que outros aplicativos possuem',negativo
'falta opção de adiantar',negativo
'falta opção para bloqueio e desbloqueio',negativo
'falta recarga celular',negativo
'falta segurança',negativo
'falta ter histórico',negativo
'favor resolver',negativo
'faz 3 vezes e bloqueia',negativo
'faz um que preste',negativo
'faz uma semana que baixei e não funciona',negativo
'fazer compra sem saber quanto se tem de limite é complicado',negativo
'fecha ao digitar a senha nao funciona no tablet, simplesmente nao funciona',negativo
'fecha ao digitar senha não funciona',negativo
'fecha o app sozinho quando vou pra transferência ou pagamento no eu smart phone',negativo
'fecha sempre que eu passo a senha',negativo
'fica carregando e trava',negativo
'fica falando usuário não cadastrado mas eu já sou cadastrado',negativo
'fica pedindo para atualizar e mesmo realizando o procedimento não funciona',negativo
'fica pedindo pra atualizar para nova versao',negativo
'fica piscando várias vezes',negativo
'fica sempre carregando',negativo
'fica só carregando',negativo
'fica só na página de login e não entra',negativo
'fica travado não consigo acessar mais',negativo
'fica travado',negativo
'ficando de modo confuso todas as compras escrito : compras nacionais',negativo
'ficaria melhor com adm do cartao tbem',negativo
'ficaria melhor se tivesse como visualizar o extrato da conta não de apenas 3 meses, mínimo um ano seria interessante',negativo
'ficou muito bom so falta do computador',negativo
'ficou muito ruim',negativo
'ficou pior',negativo
'fiquei meia hora fazendo o processo pedido e na hora da foto fica dando errado',negativo
'fiz a compra, e o saldo leva dias pra atualizar o limite disponível',negativo
'fiz hoje uma nova senha na agência e o app está dando como incorreta e acabou bloqueando meu acesso',negativo
'fizemos todo processo porém agora só aparece tente mais tarde',negativo
'foi bom enquanto durou',negativo
'fui a toa',negativo
'fui até a agência e não resolveu, pois cadastrei o token e reinstalei o app, e agora não tenho mais como cadastrar sem ir a agência',negativo
'fui fazer uma transferência e ele transferiu sem ao menos pedir para confirmar os dados e não pediu nem a senha',negativo
'fui na agência e me informaram que é um problema do app',negativo
'fui na agência e não foi resolvido o problema',negativo
'fui na cooperativa e para trocar a senha passei uma hora',negativo
'fui orientado por e-mail e não deu certo',negativo
'fui realizar um pagamento pelo app e não apareceu a opção',negativo
'funciona perfeitamente',negativo
'funciona quando quer',negativo
'funcionava perfeitamente até terca',negativo
'gostaria de avisar que após a última atualização o campo da senha não está mais aparecendo, assim não consigo logar',negativo
'gostaria de informar que o aplicativo demora um pouco pra reconhecer a biometria',negativo
'gostaria de poder, mas nao posso',negativo
'gostaria de saber por que demora tanto para contabilizar as compras',negativo
'gostaria de ter disponivel',negativo
'gostaria de tirar extrato dos meses anteriores e não tenho esse opção somente o mês anterior',negativo
'gostaria de voltar a poder acompanhar, não consigo',negativo
'gostaria que tivesse a opção de depósitos de cheques através do app',negativo
'gosto cada vez menos',negativo
'gosto muito do aplicativo, porém falta a opção de excluir objetivo já conquistado no gerenciador de investimentos',negativo
'hoje foi lança uma nova atualização porém ainda não abre',negativo
'horas na agência',negativo
'horrível a atualização na parte do cartão de crédito',negativo
'horrível a atualização',negativo
'horrível não funciona nem pra celular nem pra tablet',negativo
'horrível não funciona',negativo
'horrível pessimo como o outro',negativo
'horrivel',negativo
'horrível',negativo
'horrível',negativo
'imagina minha satisfação em não poder pagar uma conta ou transferir dinheiro sem contar outros serviços que preciso',negativo
'impossível cadastrar conta salário',negativo
'infelizmente não adiantou entrar em contato com o desenvolvedor, atenção zero',negativo
'infelizmente não adiantou entrar em contato',negativo
'infelizmente não consigo pagar boleto pelo aplicativo',negativo
'infelizmente não consigo usar',negativo
'infelizmente não consigo',negativo
'infelizmente não consigo',negativo
'infelizmente não dá',negativo
'infelizmente não é possível',negativo
'infelizmente os bancos quando crescem e deixa todos nós de lado',negativo
'instalei de novo e nada',negativo
'instalei de nv e nada',negativo
'instalei e nada',negativo
'instalei o aplicativo pra fazer abertura da conta porem o mesmo não esta respondendo',negativo
'inútil',negativo
'irei da 01 estrela porque nao tem na minha regiao vamos melhor',negativo
'isso é inadmissível',negativo
'isso é muito chato',negativo
'isso é muito ineficiente',negativo
'isso é pessimo',negativo
'isso ja ta assim faz 2 meses e nada de arumarem',negativo
'ja att continua o mesmo erro',negativo
'já atualizei ele, mas na hora de autenticação de transação ele bloqueia',negativo
'já atualizei mas não quer entrar',negativo
'já baixei as versões de tablet e smartphone e nenhuma funciona como mostra nas imagens',negativo
'ja cadastrei minha senha do internet banking mas nao consigo consultar saldo de conta salário',negativo
'já desinstalei e instalei novamente diversas vezes e o problema persiste',negativo
'já desinstalei e instalei várias vezes e a opção desapareceu',negativo
'ja desinstalei e instalei várias vezes e continua a mesma coisa',negativo
'já desinstalei e instalei várias vezes',negativo
'já desinstalei e reinstalei, eu uso muito ele, pois meu tempo é pouco, ele me auxilia muito, arruma isso aí pra gente',negativo
'ja desinstalei várias vezes e fiz tudo como pediram',negativo
'já entrei em contato com a central',negativo
'já está na hora de fazerem',negativo
'já está na hora de vocês fazerem isso, obg',negativo
'já faz dias que realizei a compra, até hoje o indica que não ha compras realizadas',negativo
'já faz um bom tempo que não consigo acessar minha conta',negativo
'já ficou chato',negativo
'já fui a agencia e nada, instalei inumeras vezes',negativo
'já fui na agência, foi cadastrado meu mobile token, foi ajustado o horário mas mesmo assim não funciona',negativo
'ja fui varias vezes e até agora meu problema não foi resolvido',negativo
'já informei o gerente mas ele disse que não tem informação do problemas relatados no app',negativo
'já instalei e desinstalei o app várias vezes, vcs podem me ajudar em relação a esse problema',negativo
'já liguei e não conseguem resolver',negativo
'já liguei e ninguém consegue resolver',negativo
'ja mandei 3 msg sem resp',negativo
'já mandei email e ninguém consegue resolver',negativo
'já reclamei na ouvidoria a maioria das pessoas estão tendo problemas aplicativo',negativo
'já reclamei na ouvidoria',negativo
'já reinstalei e ainda nada',negativo
'já reinstalei várias vezes e não corrigiu o erro assim que consertarem o aplicativo mudarei minha opinião',negativo
'já reinstalei, mas não resolveu',negativo
'já solicitei atendimento pela central de atendimento, porém o problema persiste',negativo
'já tá na hora de implantar o sistema das digitais',negativo
'já tem uns dias q não tô conseguindo abrir ele',negativo
'já tente de vários tipos e da erro na senha',negativo
'já tentei resolver o problema com a agência e com o técnico da ti da região, sem sucesso',negativo
'ja tive que ir ate a agência varias vezes',negativo
'já tô tentando mais tarde a dias',negativo
'jah desinstalei e instalei denovo e nao volta o campo de senha',negativo
'lamentável',negativo
'lamentável',negativo
'lamentável',negativo
'lento de mais',negativo
'lento demais e confuso para quem, como eu, não entendo muito de ti',negativo
'lento demais pra abrir',negativo
'lento demais pra entrar no aplicativo',negativo
'lento, e travando muito',negativo
'lento, pesado, trava, complicado',negativo
'lento',negativo
'leva dias pra atualizar',negativo
'levei horas',negativo
'levei uma hora',negativo
'limitado e com muitos erros',negativo
'limitado e meio confuso, mas atende o básico',negativo
'limitado e meio confuso',negativo
